"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 27 14:27:29 GMT 2024","Sat Jul 27 14:27:30 GMT 2024","829","chromium","weather.spec.ts","Прогноз погоды","","","Определение геопозиции","Проверки на странице прогноза погоды"
"passed","Sat Jul 27 14:27:22 GMT 2024","Sat Jul 27 14:27:22 GMT 2024","64","chromium","bookerAPI.spec.ts","Позитивные проверки","","","[GET] Проверка работоспособности API","Проверки API сервиса restful-booker"
"passed","Sat Jul 27 14:27:27 GMT 2024","Sat Jul 27 14:27:28 GMT 2024","947","chromium","weather.spec.ts","Прогноз погоды","","","Поиск города и отображение виджета погоды","Проверки на странице прогноза погоды"
"passed","Sat Jul 27 14:27:26 GMT 2024","Sat Jul 27 14:27:27 GMT 2024","690","chromium","weather.spec.ts","Прогноз погоды","","","Отображение страницы ""Прогноз погоды""","Проверки на странице прогноза погоды"
"passed","Sat Jul 27 14:27:28 GMT 2024","Sat Jul 27 14:27:29 GMT 2024","1027","chromium","weather.spec.ts","Прогноз погоды","","","Смена города","Проверки на странице прогноза погоды"
"passed","Sat Jul 27 14:27:22 GMT 2024","Sat Jul 27 14:27:22 GMT 2024","43","chromium","bookerAPI.spec.ts","Негативные проверки","","","[PUT] Изменение данных по бронированию, которого не существует",""
"passed","Sat Jul 27 14:27:32 GMT 2024","Sat Jul 27 14:27:33 GMT 2024","1045","chromium","weather.spec.ts","Прогноз погоды > Виджеты погоды","","","Отображение полей в большом виджете","Проверки на странице прогноза погоды"
"passed","Sat Jul 27 14:27:23 GMT 2024","Sat Jul 27 14:27:24 GMT 2024","1212","chromium","reg.spec.ts","Позитивные сценарии регистрации","","","Успешная регистрация","Позитивные и негативные проверки на странице регистрации"
"passed","Sat Jul 27 14:27:24 GMT 2024","Sat Jul 27 14:27:24 GMT 2024","314","chromium","reg.spec.ts","Негативные сценарии регистрации","","","Регистрация с пустыми данными","Позитивные и негативные проверки на странице регистрации"
"passed","Sat Jul 27 14:27:21 GMT 2024","Sat Jul 27 14:27:21 GMT 2024","315","chromium","auth.spec.ts","Негативные сценарии авторизации","","","Авторизация с незаполненными полями","Позитивные и негативные проверки на странице авторизации"
"passed","Sat Jul 27 14:27:22 GMT 2024","Sat Jul 27 14:27:22 GMT 2024","31","chromium","bookerAPI.spec.ts","Негативные проверки","","","[GET] Получение бронирования по id, которого не существует","Проверки API сервиса restful-booker"
"passed","Sat Jul 27 14:27:19 GMT 2024","Sat Jul 27 14:27:20 GMT 2024","368","chromium","auth.spec.ts","Позитивные сценарии авторизации","","","Проверка отображения страницы регистрация/авторизация","Позитивные и негативные проверки на странице авторизации"
"passed","Sat Jul 27 14:27:26 GMT 2024","Sat Jul 27 14:27:26 GMT 2024","726","chromium","reg.spec.ts","Негативные сценарии регистрации","","","Регистрация с существующим email","Позитивные и негативные проверки на странице регистрации"
"passed","Sat Jul 27 14:27:23 GMT 2024","Sat Jul 27 14:27:23 GMT 2024","31","chromium","bookerAPI.spec.ts","Негативные проверки","","","[PATCH] Частичное изменение данных по бронированию, которого не существует",""
"passed","Sat Jul 27 14:27:22 GMT 2024","Sat Jul 27 14:27:22 GMT 2024","47","chromium","bookerAPI.spec.ts","Позитивные проверки","","","[PATCH] Частичное изменение данных по бронированию",""
"passed","Sat Jul 27 14:27:24 GMT 2024","Sat Jul 27 14:27:25 GMT 2024","712","chromium","reg.spec.ts","Негативные сценарии регистрации","","","Регистрация с паролем менее 6 символов","Позитивные и негативные проверки на странице регистрации"
"passed","Sat Jul 27 14:27:22 GMT 2024","Sat Jul 27 14:27:22 GMT 2024","32","chromium","bookerAPI.spec.ts","Позитивные проверки","","","[POST] Создание нового бронирования",""
"passed","Sat Jul 27 14:27:23 GMT 2024","Sat Jul 27 14:27:23 GMT 2024","30","chromium","bookerAPI.spec.ts","Негативные проверки","","","[DELETE] Удаление бронирования, которого не существует",""
"passed","Sat Jul 27 14:27:33 GMT 2024","Sat Jul 27 14:27:34 GMT 2024","1177","chromium","weather.spec.ts","Прогноз погоды > Виджеты погоды","","","Отображение полей в среднем виджете","Проверки на странице прогноза погоды"
"passed","Sat Jul 27 14:27:20 GMT 2024","Sat Jul 27 14:27:20 GMT 2024","271","chromium","auth.spec.ts","Позитивные сценарии авторизации","","","Проверка отображения полей авторизации","Позитивные и негативные проверки на странице авторизации"
"passed","Sat Jul 27 14:27:34 GMT 2024","Sat Jul 27 14:27:35 GMT 2024","1044","chromium","weather.spec.ts","Прогноз погоды > Виджеты погоды","","","Отображение полей в малом виджете","Проверки на странице прогноза погоды"
"passed","Sat Jul 27 14:27:22 GMT 2024","Sat Jul 27 14:27:22 GMT 2024","28","chromium","bookerAPI.spec.ts","Позитивные проверки","","","[GET] Получение бронирования по id",""
"passed","Sat Jul 27 14:27:30 GMT 2024","Sat Jul 27 14:27:31 GMT 2024","893","chromium","weather.spec.ts","Прогноз погоды","","","(H) Поиск несуществующего города и отображение ошибки","Проверки на странице прогноза погоды"
"passed","Sat Jul 27 14:27:22 GMT 2024","Sat Jul 27 14:27:22 GMT 2024","35","chromium","bookerAPI.spec.ts","Позитивные проверки","","","[GET] Получение списка id всех бронирований",""
"passed","Sat Jul 27 14:27:22 GMT 2024","Sat Jul 27 14:27:22 GMT 2024","31","chromium","bookerAPI.spec.ts","Позитивные проверки","","","[PUT] Изменение данных по бронированию",""
"passed","Sat Jul 27 14:27:31 GMT 2024","Sat Jul 27 14:27:32 GMT 2024","830","chromium","weather.spec.ts","Прогноз погоды","","","Проверка переключения между виджетами","Проверки на странице прогноза погоды"
"passed","Sat Jul 27 14:27:22 GMT 2024","Sat Jul 27 14:27:22 GMT 2024","24","chromium","bookerAPI.spec.ts","Позитивные проверки","","","[DELETE] Удаление бронирования",""
"passed","Sat Jul 27 14:27:25 GMT 2024","Sat Jul 27 14:27:26 GMT 2024","496","chromium","reg.spec.ts","Негативные сценарии регистрации","","","Регистрация с некорректным email","Позитивные и негативные проверки на странице регистрации"
"passed","Sat Jul 27 14:27:21 GMT 2024","Sat Jul 27 14:27:22 GMT 2024","709","chromium","auth.spec.ts","Негативные сценарии авторизации","","","Авторизация от незарегистрированного пользователя","Позитивные и негативные проверки на странице авторизации"
"passed","Sat Jul 27 14:27:20 GMT 2024","Sat Jul 27 14:27:21 GMT 2024","673","chromium","auth.spec.ts","Позитивные сценарии авторизации","","","Успешная авторизация","Позитивные и негативные проверки на странице авторизации"
"passed","Sat Jul 27 14:27:22 GMT 2024","Sat Jul 27 14:27:22 GMT 2024","28","chromium","bookerAPI.spec.ts","Позитивные проверки","","","[POST] Авторизация от админа",""
"passed","Sat Jul 27 14:27:23 GMT 2024","Sat Jul 27 14:27:23 GMT 2024","276","chromium","reg.spec.ts","Позитивные сценарии регистрации","","","Проверка полей регистрации","Позитивные и негативные проверки на странице регистрации"
